"date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
"105",2015-02-11 16:32:00,21.89,30.1,430.5,754,0.00489205291264047,1
"2289",2015-02-13 04:56:00,20.84,24.4,0,574,0.00371145560471808,0
"6960",2015-02-16 10:46:59,21.445,27.55,459,975,0.00435366027959088,1
"7948",2015-02-17 03:15:00,20.05,30.39,0,724.5,0.00440745809148236,0
"9061",2015-02-17 21:48:00,20.89,32.7,0,1524.5,0.00499955647691461,0
"8972",2015-02-17 20:19:00,21,34.09,0,1474,0.00524954396863874,0
"4002",2015-02-14 09:29:00,20,36.425,10.5,503.75,0.00527366262768933,0
"8553",2015-02-17 13:20:00,21.7,33.09,40.5,1116.25,0.00531956721058616,0
"7483",2015-02-16 19:30:00,20.6,30.525,0,764.75,0.00458134242048655,0
"964",2015-02-12 06:51:00,20.6,22.445,0,636,0.00336210126212821,0
"1271",2015-02-12 11:57:59,23.945,22.7,264,777,0.00417359428688215,0
"8951",2015-02-17 19:58:00,21,34.2,0,1511,0.00526662637537907,0
"4586",2015-02-14 19:13:00,19.79,35.4,0,523,0.00505722357326604,0
"3495",2015-02-14 01:01:59,19.89,35.145,0,507,0.00505198840358368,0
"2260",2015-02-13 04:27:00,20.89,24.4,0,575.5,0.00372296034247527,0
"3420",2015-02-13 23:47:00,20,33.56,0,513,0.00485562579150977,0
"8777",2015-02-17 17:04:00,22.15,34.35,438,1480.66666666667,0.00567914400159498,1
"7404",2015-02-16 18:10:59,21.79,30.29,0,949,0.0048929662190992,0
"4943",2015-02-15 01:09:59,19.89,35.245,0,536,0.00506648019247576,0
"4640",2015-02-14 20:06:59,19.79,35.345,0,512,0.00504930252087958,0
"7986",2015-02-17 03:53:00,20.26,30.3566666666667,0,728.333333333333,0.00446057728740867,0
"8792",2015-02-17 17:19:00,22.125,34.3,442.5,1518.75,0.0056620915755871,1
"7130",2015-02-16 13:37:00,21.6,27.7933333333333,454,853,0.00443456303422829,1
"2317",2015-02-13 05:23:59,20.79,24.79,0,565,0.00375947872351275,0
"5558",2015-02-15 11:25:00,22.315,28.79,372.75,625.5,0.00480123696735858,0
"6225",2015-02-15 22:32:00,20.245,30.84,0,728,0.00452788376478214,0
"1698",2015-02-12 19:05:00,21.5,28.29,0,576,0.00448663755713656,0
"8990",2015-02-17 20:37:00,21,33.79,0,1532.5,0.00520296031522883,0
"3995",2015-02-14 09:22:00,20,36.4,7,506,0.00527001242540388,0
"8111",2015-02-17 05:57:59,20.2,30.6,0,740,0.00447981928533327,0
"5316",2015-02-15 07:23:00,20,31.6,0,583,0.00456995981801353,0
"8366",2015-02-17 10:13:00,21.29,31.29,433,955.666666666667,0.00490221774608623,1
"3197",2015-02-13 20:04:00,20.7,31.79,0,508.5,0.00480239121811869,0
"9461",2015-02-18 04:27:59,20.79,26,0,1453,0.00394414248170397,0
"363",2015-02-11 20:50:00,20.89,29.29,0,500,0.00447444551948421,0
"6643",2015-02-16 05:30:00,20.39,25.5,0,798,0.00377301692061835,0
"7345",2015-02-16 17:12:00,21.89,30.2225,427.25,985.5,0.00491211966171204,1
"2771",2015-02-13 12:58:00,23.79,25.29,734,588,0.00460986173397927,1
"6595",2015-02-16 04:41:59,20.39,25.89,0,793,0.0038310773067989,0
"240",2015-02-11 18:47:00,21.39,29.015,0,604.25,0.00457133321177775,0
"3994",2015-02-14 09:21:00,20,36.425,7,500,0.00527366262768933,0
"7764",2015-02-17 00:10:59,20.2,30.5,0,720,0.00446507425916187,0
"5865",2015-02-15 16:32:00,21.125,31.89,13,665.5,0.00494623044637376,0
"6553",2015-02-16 04:00:00,20.39,26.39,0,856,0.00390552946185142,0
"998",2015-02-12 07:25:00,20.5,22.29,0,733,0.00331811853036384,0
"2944",2015-02-13 15:51:00,22.5,29.65,474.5,593.5,0.00500219815681985,1
"2329",2015-02-13 05:36:00,20.79,24.995,0,561.5,0.00379075706560527,0
"6142",2015-02-15 21:08:59,20.39,31.89,0,694,0.00472567385241829,0
"3259",2015-02-13 21:06:00,20.39,31.2,0,509,0.00462266512278733,0
"7354",2015-02-16 17:21:00,21.945,30.05,433,969.5,0.0049004147387739,1
"2597",2015-02-13 10:04:00,22.7225,25.0475,714.5,613,0.00427824323616494,0
"8567",2015-02-17 13:34:00,21.7,33.545,464,1130.75,0.00539334751701023,1
"3785",2015-02-14 05:51:59,19.6,38.29,0,504.5,0.00540896727594585,0
"6894",2015-02-16 09:40:59,21.29,27.05,488,1006,0.00423341392902945,1
"8488",2015-02-17 12:15:00,21.62,32.772,433.5,1342.75,0.0052420846139749,1
"4588",2015-02-14 19:14:59,19.79,35.4,0,520,0.00505722357326604,0
"6599",2015-02-16 04:46:00,20.34,25.89,0,798,0.0038191907567496,0
"83",2015-02-11 16:09:59,21.89,30.365,429,793.5,0.00493546423117755,1
"8267",2015-02-17 08:34:00,20.6,30.39,0,791,0.00456093238421853,0
"6974",2015-02-16 11:00:59,21.5,28.0333333333333,454,1017,0.00444564070446765,1
"9268",2015-02-18 01:14:59,20.79,27.89,0,1327.66666666667,0.00423280239666859,0
"6109",2015-02-15 20:36:00,20.39,32.2,0,690.5,0.00477196416324194,0
"7909",2015-02-17 02:36:00,20,30.29,0,714.5,0.0043791751281533,0
"2321",2015-02-13 05:28:00,20.79,25.03,0,570.333333333333,0.00379609758285656,0
"1397",2015-02-12 14:04:00,23.89,24.2225,142.5,655.5,0.00444071399249253,0
"6056",2015-02-15 19:43:00,20.39,32.59,0,663.5,0.00483021007437691,0
"6000",2015-02-15 18:47:00,20.5,32.79,0,646,0.0048934591829229,0
"3977",2015-02-14 09:04:00,19.945,36.5,6,501.5,0.00526648377587266,0
"7527",2015-02-16 20:13:59,20.5,30.5,0,750,0.00454920847912978,0
"8791",2015-02-17 17:18:00,22.1333333333333,34.4333333333333,447,1519.66666666667,0.00568721645806968,1
"2946",2015-02-13 15:53:00,22.4266666666667,29.73,478,596.333333333333,0.00499331756369339,1
"5060",2015-02-15 03:07:00,20.1,33.9,0,547.5,0.00493591580189434,0
"1875",2015-02-12 22:01:59,21.05,27.39,0,563,0.00422386841343422,0
"8632",2015-02-17 14:38:59,22.1,34.5266666666667,459,1329,0.00569109440446632,1
"4932",2015-02-15 00:59:00,19.89,35.4,0,544,0.00508894378907528,0
"4270",2015-02-14 13:57:00,20.4266666666667,35.3633333333333,19,508,0.00525670432108865,0
"2627",2015-02-13 10:34:00,23.29,24.4633333333333,774,607.666666666667,0.00432480992607232,1
"2968",2015-02-13 16:14:59,22.1,30.6,447,588.25,0.00503861159607086,1
"8837",2015-02-17 18:04:00,22.2,34.245,419,1603,0.00567905415734882,1
"3028",2015-02-13 17:15:00,21.5,32.0675,436.5,620.25,0.00509063130178034,1
"4371",2015-02-14 15:38:00,19.865,36.245,17.5,510.75,0.00520329556460965,0
"4066",2015-02-14 10:33:00,20.1666666666667,36.4333333333333,48,505.333333333333,0.0053300528805323,0
"7794",2015-02-17 00:40:59,20.2,30.39,0,715,0.00444885553202324,0
"202",2015-02-11 18:08:59,21.89,29.125,419,626,0.00473238376137405,1
"6559",2015-02-16 04:06:00,20.39,26.29,0,846,0.00389063761371947,0
"1771",2015-02-12 20:18:00,21.2,27.5,0,562,0.00428046287634404,0
"3711",2015-02-14 04:38:00,19.6,36.79,0,504.5,0.00519530263415887,0
"6282",2015-02-15 23:29:00,20.29,30.05,0,732,0.00442344948960147,0
"3083",2015-02-13 18:10:00,21.34,32.59,0,583,0.00512337459613129,0
"2993",2015-02-13 16:40:00,21.79,31.1333333333333,444,615,0.00503029777867882,1
"7274",2015-02-16 16:01:00,21.865,29.2,454,900.5,0.0047373714167436,1
"5557",2015-02-15 11:23:59,22.29,28.89,415.5,630,0.00481066166450848,0
"8706",2015-02-17 15:53:00,22.2,34.26,465.666666666667,1421.33333333333,0.00568156441955382,1
"450",2015-02-11 22:17:00,20.7,28.745,0,488,0.0043391859350781,0
"3778",2015-02-14 05:44:59,19.6,38.29,0,506,0.00540896727594585,0
"5448",2015-02-15 09:35:00,21.39,28.89,200.5,626.5,0.00455149526581013,0
"403",2015-02-11 21:29:59,20.79,29.59,0,494,0.00449267111931899,0
"6384",2015-02-16 01:11:00,20.29,28.5,0,816.5,0.00419374650620399,0
"3663",2015-02-14 03:49:59,19.65,36.45,0,499.5,0.00516303726559079,0
"4438",2015-02-14 16:45:00,20.1,35.79,24,518,0.00521341057015086,0
"2444",2015-02-13 07:31:00,20.79,25.5,0,519,0.00386782193185198,0
"5",2015-02-11 14:51:59,21.79,31.1333333333333,437.333333333333,1005.66666666667,0.00503029777867882,1
"2039",2015-02-13 00:46:00,21,25.795,0,572,0.00396405020534517,0
"8234",2015-02-17 08:00:59,20.6,30.39,0,774.5,0.00456093238421853,0
"8204",2015-02-17 07:31:00,20.7,30.29,0,774,0.00457412568546629,0
"9584",2015-02-18 06:30:59,20.79,26.65,0,1481,0.00404338702825413,0
"2773",2015-02-13 13:00:00,23.79,25.3233333333333,425.333333333333,596.666666666667,0.00461598282586459,1
"5049",2015-02-15 02:55:59,20.1,33.9,0,543,0.00493591580189434,0
"5536",2015-02-15 11:03:00,21.7,29.5,267,629.333333333333,0.00473804051992681,0
"3266",2015-02-13 21:13:00,20.39,31.15,0,511,0.004615202037826,0
"4667",2015-02-14 20:34:00,19.89,35.4,0,529.333333333333,0.00508894378907528,0
"1553",2015-02-12 16:40:00,22.2,27.1666666666667,444,605,0.00449672535082264,1
"22",2015-02-11 15:08:59,21.89,31.745,449.5,1075.33333333333,0.00516162793287788,1
"6019",2015-02-15 19:06:00,20.39,32.79,0,648,0.00486008397186806,0
"1283",2015-02-12 12:10:00,24.05,22.675,260,756.5,0.00419552390772226,0
"8555",2015-02-17 13:21:59,21.65,33.0225,55,1105.25,0.00529227908250948,0
"4519",2015-02-14 18:06:00,19.89,35.5,0,514,0.00510343728618814,0
"2314",2015-02-13 05:21:00,20.79,24.745,0,567.5,0.00375261316448302,0
"3322",2015-02-13 22:08:59,20.2,31.39,0,510.333333333333,0.00459632939783347,0
"9279",2015-02-18 01:25:59,20.79,27.6666666666667,0,1318.66666666667,0.00419867880075799,0
"7492",2015-02-16 19:38:59,20.65,30.5,0,769.5,0.0045917982257084,0
"7356",2015-02-16 17:23:00,21.9633333333333,30.2,433,974,0.0049306260822856,1
"6787",2015-02-16 07:53:59,20.39,24.445,0,814.5,0.00361601010638861,0
"2454",2015-02-13 07:40:59,21,25.495,0,519,0.00391765728756655,0
"5593",2015-02-15 12:00:00,22.6,28.7675,237.5,630,0.00488194565973272,0
"3965",2015-02-14 08:51:59,19.945,36.545,7,508,0.00527303174512839,0
"9722",2015-02-18 08:49:00,20.84,26.945,10.5,1428,0.00410112502896133,0
"8506",2015-02-17 12:33:00,21.7,32.9,449.5,1207.5,0.00528876298768437,1
"6447",2015-02-16 02:13:59,20.39,27.39,0,853.666666666667,0.00405448692792252,0
"4141",2015-02-14 11:48:00,20.6,35.23,134,505,0.00529350165842549,0
"1396",2015-02-12 14:03:00,23.89,24.2,139,661,0.00443655964263606,0
"302",2015-02-11 19:49:00,21,29.53,0,523.666666666667,0.00454221837168049,0
"1009",2015-02-12 07:36:00,20.6,22.7,0,703,0.00340050727338431,0
"7669",2015-02-16 22:36:00,20.29,30.39,0,715,0.00447385848958856,0
"4674",2015-02-14 20:41:00,19.89,35.4,0,527,0.00508894378907528,0
"7507",2015-02-16 19:53:59,20.6,30.39,0,756,0.00456093238421853,0
"5202",2015-02-15 05:29:00,20.1,32.29,0,568,0.00469972496770391,0
"6170",2015-02-15 21:36:59,20.3566666666667,31.6,0,710,0.00467267339599704,0
"3674",2015-02-14 04:01:00,19.6,36.5,0,499,0.0051540109230287,0
"6889",2015-02-16 09:36:00,21.2,27.1,464.25,1012.75,0.00421777940467497,1
"3482",2015-02-14 00:49:00,19.89,34.745,0,499,0.00499402794563162,0
"3562",2015-02-14 02:09:00,19.79,36.09,0,500,0.00515661378235243,0
"3914",2015-02-14 08:00:59,19.7,37.5,0,510.5,0.00532970136075543,0
"264",2015-02-11 19:11:00,21.2,29.79,0,619,0.00463956746320798,0
"8185",2015-02-17 07:12:00,20.7,30.2,0,763.5,0.00456043504036532,0
"1679",2015-02-12 18:46:00,21.6666666666667,28.1,0,579,0.00450230084563674,0
"1569",2015-02-12 16:56:00,22.075,27.525,435,598.4,0.00452164804276817,1
"6460",2015-02-16 02:26:59,20.39,27.245,0,864.5,0.00403288370058493,0
"298",2015-02-11 19:45:00,21,29.945,0,522,0.00460652521443113,0
"9362",2015-02-18 02:49:00,20.79,26.7,0,1255.33333333333,0.00405102252768257,0
"8813",2015-02-17 17:39:59,22.175,34.425,433,1809.25,0.0057004120346292,1
"582",2015-02-12 00:29:00,20.6,26.8,0,508.5,0.00401866400688162,0
"2192",2015-02-13 03:19:00,20.89,24.29,0,584,0.00370607650135101,0
"6777",2015-02-16 07:44:00,20.39,24.5,0,806,0.0036241933491251,0
"142",2015-02-11 17:09:00,21.89,30.4633333333333,433,818,0.00495157436311527,1
"2127",2015-02-13 02:13:59,20.945,24.9,0,574.5,0.00381267132341687,0
"2811",2015-02-13 13:38:00,23.79,25.6666666666667,438.5,542.5,0.00467903703245484,1
"9561",2015-02-18 06:08:00,20.79,26.5,0,1563.5,0.00402048164742504,0
"7228",2015-02-16 15:15:00,21.745,28.7675,446.5,874.5,0.0046323381543212,1
"4470",2015-02-14 17:17:00,20,35.7,14,519.5,0.00516782400636706,0
"924",2015-02-12 06:10:59,20.5,23.695,0,586.333333333333,0.00352845512452074,0
"6080",2015-02-15 20:06:59,20.39,32.4,0,678,0.00480183250901282,0
"5013",2015-02-15 02:19:59,20,34.345,0,547.5,0.00497011099675465,0
"617",2015-02-12 01:04:00,20.6,26.1,0,518,0.00391303856058111,0
"5502",2015-02-15 10:28:59,22.1,28.745,209.25,641.5,0.00473084317770382,0
"525",2015-02-11 23:31:59,20.6,27.79,0,503,0.00416810944355923,0
"4987",2015-02-15 01:53:59,20,34.59,0,544.5,0.00500585061095508,0
"8471",2015-02-17 11:57:59,21.6,32.7,429,1177.33333333333,0.00522402106934216,1
"3467",2015-02-14 00:34:00,20,34.2,0,507,0.00494896089935913,0
"4948",2015-02-15 01:14:59,19.89,35.2,0,539,0.00505995880458261,0
"4699",2015-02-14 21:06:00,19.945,35.29,0,533.5,0.00509046740161306,0
"2984",2015-02-13 16:31:00,21.865,31.1,438,617,0.00504812681021909,1
"5515",2015-02-15 10:41:59,22,29,143,641.25,0.00474389663525043,0
"2024",2015-02-13 00:30:59,21,25.54,0,574.5,0.0039246157868349,0
"1424",2015-02-12 14:31:00,23.7,24.29,103.333333333333,601,0.00440220348975394,0
"3013",2015-02-13 16:59:59,21.625,31.7675,444,631.5,0.00508166310866195,1
"2002",2015-02-13 00:08:59,21,25.295,0,568,0.00388673249594857,0
"5807",2015-02-15 15:34:00,21.7,31.2,50,663.25,0.00501328082527534,0
"6574",2015-02-16 04:21:00,20.29,26.2,0,841.5,0.00385320719822783,0
"3808",2015-02-14 06:15:00,19.5,38.79,0,508,0.00544596439545907,0
"4584",2015-02-14 19:11:00,19.89,35.4,0,518,0.00508894378907528,0
"8733",2015-02-17 16:20:00,22.2225,34.425,439,1519,0.00571707875453636,1
"4844",2015-02-14 23:31:00,20,35.7,0,534,0.00516782400636706,0
"8930",2015-02-17 19:37:00,21.1,34.29,0,1473.5,0.00531342794587954,0
"4726",2015-02-14 21:33:00,19.89,35.29,0,533.5,0.00507300171601445,0
"4598",2015-02-14 19:25:00,19.84,35.45,0,525.333333333333,0.00508028561873035,0
"2886",2015-02-13 14:53:00,23.1,28.1,543,555.25,0.00491563736370171,1
"7769",2015-02-17 00:16:00,20.2,30.39,0,715,0.00444885553202324,0
"8187",2015-02-17 07:14:00,20.6,30.2,0,761,0.00453220940046256,0
"5063",2015-02-15 03:10:00,20.1,33.7,0,550,0.0049065656418467,0
"882",2015-02-12 05:29:00,20.5,23.6,0,583.5,0.00351422861696014,0
"4194",2015-02-14 12:40:59,20.39,35,35,508,0.00519038021495672,0
"8601",2015-02-17 14:08:00,21.79,34,444,1226,0.00549756673731766,1
"5633",2015-02-15 12:40:00,23.0333333333333,28.5666666666667,341.333333333333,633,0.00497765015656018,0
"8721",2015-02-17 16:08:00,22.2225,34.275,454,1440,0.00569193977455556,1
"928",2015-02-12 06:15:00,20.5,23.445,0,596.5,0.00349101833590773,0
"6228",2015-02-15 22:34:59,20.29,30.89,0,727,0.00454800411170284,0
"1826",2015-02-12 21:13:00,21.2,27.1,0,565,0.00421777940467497,0
"6083",2015-02-15 20:10:00,20.39,32.4,0,671,0.00480183250901282,0
"4849",2015-02-14 23:36:00,20,35.7,0,537.5,0.00516782400636706,0
"7297",2015-02-16 16:24:00,21.79,29.55,449.5,923.5,0.00477251138874487,1
"2493",2015-02-13 08:19:59,20.89,25.65,6,513.5,0.00391488620127721,0
"6851",2015-02-16 08:57:59,20.675,25.575,393,885.8,0.00385171781803991,1
"1859",2015-02-12 21:46:00,21.1,27.445,0,563.5,0.00424551707299958,0
"6120",2015-02-15 20:47:00,20.39,32.09,0,685.5,0.0047555377863872,0
"512",2015-02-11 23:19:00,20.6,28.03,0,498,0.00420434938638641,0
"6724",2015-02-16 06:51:00,20.39,24.79,0,807,0.00366734489678181,0
"5110",2015-02-15 03:56:59,20.1,33,0,554,0.00480386171918592,0
"6917",2015-02-16 10:04:00,21.675,26.7,493,979.75,0.00427863951511892,1
"9745",2015-02-18 09:11:59,20.79,27.03,419,1488,0.00410142149548129,1
"1585",2015-02-12 17:12:00,22,27.7,423.5,621.5,0.00452969053046999,1
"2150",2015-02-13 02:37:00,21,24.2666666666667,0,578.666666666667,0.00372777576225947,0
"6408",2015-02-16 01:34:59,20.29,28.05,0,953.5,0.00412709009319372,0
"2703",2015-02-13 11:50:00,23.89,25.2,820.666666666667,673.666666666667,0.0046212506255852,1
"5750",2015-02-15 14:37:00,21.9633333333333,30.5,59.6666666666667,670.333333333333,0.00497999796423606,0
"1166",2015-02-12 10:13:00,23.26,23.0666666666667,700,832.666666666667,0.00406885034428994,1
"6723",2015-02-16 06:49:59,20.39,24.89,0,804.5,0.00368222612105264,0
"5283",2015-02-15 06:49:59,19.945,32.09,0,579,0.00462544527047246,0
"3246",2015-02-13 20:53:00,20.39,31.29,0,512,0.00463609912371531,0
"3921",2015-02-14 08:08:00,19.7,37.29,0,511.5,0.00529960073471111,0
"4740",2015-02-14 21:47:00,19.79,35.2,0,530.75,0.00502842070562293,0
"8465",2015-02-17 11:51:59,21.5,32.6266666666667,454.666666666667,1131.66666666667,0.00518013680222444,1
"613",2015-02-12 01:00:00,20.6,26.195,0,518,0.00392737135211512,0
"4882",2015-02-15 00:08:59,19.9266666666667,35.7,0,542,0.00514420162404428,0
"8714",2015-02-17 16:01:00,22.245,34.4,449,1405.25,0.00572079272521389,1
"8879",2015-02-17 18:46:00,21.7,34.2,0,1477,0.00549958920680493,0
"9623",2015-02-18 07:09:59,20.73,27,0,1495.33333333333,0.00408163071856388,0
"4387",2015-02-14 15:53:59,19.79,36.2,24,505.5,0.00517246151018731,0
"3023",2015-02-13 17:10:00,21.5333333333333,32,444,633,0.00509029082307654,1
"920",2015-02-12 06:07:00,20.5,23.0666666666667,0,585.333333333333,0.00343437251690276,0
"973",2015-02-12 07:00:00,20.55,22.745,0,646,0.00339673783977272,0
"697",2015-02-12 02:23:59,20.6,25.245,0,547.5,0.00378407296862427,0
"8429",2015-02-17 11:16:00,21.39,32.4,437.666666666667,1074,0.00510902281833226,1
"1525",2015-02-12 16:12:00,22.365,26.29,466.75,539.25,0.00439482379023074,1
"8975",2015-02-17 20:22:00,20.9266666666667,34.06,0,1492,0.00522109156628242,0
"276",2015-02-11 19:23:00,21.1,29.89,0,524,0.00462655186142874,0
"1467",2015-02-12 15:14:00,22.945,25.39,59,569,0.00439645256371606,0
"1519",2015-02-12 16:06:00,22.39,25.89,19,532.5,0.00433412265851602,0
"4122",2015-02-14 11:29:00,20.7,35.1633333333333,66.6666666666667,507.666666666667,0.00531634312706266,0
"5005",2015-02-15 02:12:00,19.89,34.3633333333333,0,539.333333333333,0.00493873399733769,0
"820",2015-02-12 04:27:00,20.6,23.895,0,558,0.00358055125552842,0
"6910",2015-02-16 09:56:59,21.7,27.15,536,1002,0.00435795893155244,1
"5503",2015-02-15 10:30:00,22.1,28.79,176.666666666667,638,0.00473830568222405,0
"1687",2015-02-12 18:53:59,21.6,28.1,0,584,0.00448384593489741,0
"7549",2015-02-16 20:36:00,20.5,30.365,0,734.666666666667,0.00452892602460111,0
"990",2015-02-12 07:17:00,20.5,22.9,0,734.5,0.00340942166693174,0
"8575",2015-02-17 13:41:59,21.7,33.8175,457.75,1154.5,0.00543754293357337,1
"4493",2015-02-14 17:39:59,20,35.45,7,515,0.00513133621089371,0
"7628",2015-02-16 21:55:00,20.39,30.1,0,721.333333333333,0.00445851830844756,0
"8297",2015-02-17 09:04:00,20.89,30.89,405,846.5,0.00472072232152342,1
"2895",2015-02-13 15:02:00,23.1,28.2,518,567.5,0.00493326948030414,1
"6627",2015-02-16 05:13:59,20.5,25.65,0,784.5,0.00382136542758715,0
"8069",2015-02-17 05:16:00,20.6,30.29,0,745,0.00454581469606991,0
"4701",2015-02-14 21:08:00,19.945,35.29,0,530,0.00509046740161306,0
"2748",2015-02-13 12:35:00,23.89,25.075,766,610.5,0.00459815829724231,1
"7074",2015-02-16 12:40:59,21.575,28.02,459,900.75,0.00446410535172401,1
"5685",2015-02-15 13:32:00,22.39,29.7,107.5,656.75,0.00497704034901491,0
"4798",2015-02-14 22:45:00,19.89,35.9,0,538,0.0051614179748336,0
"1730",2015-02-12 19:37:00,21.39,27.89,0,567,0.00439283690920249,0
"7532",2015-02-16 20:19:00,20.5,30.39,0,738.5,0.0045326819356264,0
"922",2015-02-12 06:08:59,20.5,23.3,0,582.5,0.00346930705165949,0
"8841",2015-02-17 18:08:00,22.1,34.345,0,1594.5,0.00566087742424663,0
"2784",2015-02-13 13:11:00,23.89,25.5,241,585.5,0.00467667915865061,0
"5936",2015-02-15 17:43:00,20.5666666666667,32.5,14,673,0.00486998645897921,0
"7062",2015-02-16 12:29:00,21.5333333333333,27.96,454,932,0.0044430510547679,1
"2904",2015-02-13 15:10:59,23,28.29,505.333333333333,564,0.00491904713789402,1
"7972",2015-02-17 03:39:00,20.1,30.6,0,724,0.00445198931575045,0
"7488",2015-02-16 19:34:59,20.6,30.5,0,764,0.00457756268382079,0
"1059",2015-02-12 08:25:59,20.5666666666667,22.0966666666667,10,914.333333333333,0.0033028135891219,0
"2919",2015-02-13 15:26:00,22.84,28.65,489,573.75,0.00493371535968374,1
"481",2015-02-11 22:47:59,20.5,27.7,0,488,0.00412880400389045,0
"6764",2015-02-16 07:31:00,20.39,24.55,0,805.5,0.00363163284647652,0
"4828",2015-02-14 23:15:00,20,35.7,0,533.5,0.00516782400636706,0
"7957",2015-02-17 03:23:59,20.05,30.445,0,724,0.00441549136003255,0
"7144",2015-02-16 13:51:00,21.5,28.125,454,830,0.004460281821599,1
"6707",2015-02-16 06:34:00,20.39,25,0,797,0.00369859628538123,0
"4938",2015-02-15 01:05:00,19.8566666666667,35.26,0,544.666666666667,0.00505810369144341,0
"1956",2015-02-12 23:23:00,21,26.0333333333333,0,572,0.00400091170349704,0
"1871",2015-02-12 21:58:00,21.05,27.05,0,568,0.0041710847062305,0
"9546",2015-02-18 05:53:00,20.79,26.39,0,1597,0.00400368543337811,0
"9049",2015-02-17 21:36:00,20.89,32.9,0,1666.5,0.00503038210410195,0
"6383",2015-02-16 01:09:59,20.29,28.5,0,810,0.00419374650620399,0
"5211",2015-02-15 05:38:00,20.1,32.29,0,569.5,0.00469972496770391,0
"599",2015-02-12 00:46:00,20.65,26.35,0,516,0.0039630317850545,0
"9074",2015-02-17 22:01:00,20.79,32.29,0,1511,0.00490584738175847,0
"8480",2015-02-17 12:07:00,21.6,32.7,441,1243,0.00522402106934216,1
"841",2015-02-12 04:47:59,20.6,23.9,0,558,0.00358130479540791,0
"4791",2015-02-14 22:38:00,19.89,36,0,535,0.00517591482227579,0
"3554",2015-02-14 02:00:59,19.8233333333333,36.03,0,505.333333333333,0.00515871476015788,0
"4378",2015-02-14 15:45:00,19.79,36.2,24,509,0.00517246151018731,0
"9153",2015-02-17 23:19:59,20.89,30.5,0,1184.5,0.00466067450621137,0
